#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (phi)
1,20.0,0.0700,24.87,6.74
2,20.9,0.0700,24.87,6.48
3,21.9,0.0700,24.90,6.17
4,22.9,0.0700,24.91,5.89
5,24.0,0.0700,24.90,5.64
6,25.1,0.0700,24.91,5.42
7,26.3,0.0700,24.92,5.20
8,27.5,0.0700,24.93,4.96
9,28.8,0.0700,24.93,4.76
10,30.2,0.0700,24.93,4.53
11,31.6,0.0700,24.93,4.37
12,33.1,0.0700,24.93,4.17
13,34.7,0.0700,24.94,4.01
14,36.3,0.0700,24.94,3.83
15,38.0,0.0700,24.93,3.65
16,39.8,0.0700,24.94,3.49
17,41.7,0.0700,24.93,3.32
18,43.7,0.0700,24.92,3.19
19,45.7,0.0700,24.93,3.04
20,47.9,0.0700,24.91,2.91
21,50.1,0.0700,24.93,2.73
22,52.5,0.0700,24.92,2.64
23,55.0,0.0700,24.93,2.49
24,57.5,0.0700,24.94,2.39
25,60.3,0.0700,24.94,2.27
26,63.1,0.0700,24.94,2.12
27,66.1,0.0700,24.93,2.03
28,69.2,0.0700,24.92,1.95
29,72.4,0.0700,24.93,1.79
30,75.9,0.0700,24.92,1.72
31,79.4,0.0700,24.92,1.66
32,83.2,0.0700,24.92,1.50
33,87.1,0.0700,24.92,1.49
34,91.2,0.0700,24.92,1.37
35,95.5,0.0700,24.92,1.32
36,100.0,0.0700,24.92,1.30
37,104.7,0.0700,24.92,1.20
38,109.6,0.0700,24.92,1.14
39,114.8,0.0700,24.91,1.13
40,120.2,0.0700,24.91,1.07
41,125.9,0.0700,24.91,1.03
42,131.8,0.0700,24.92,0.98
43,138.0,0.0700,24.91,0.92
44,144.5,0.0700,24.91,0.86
45,151.4,0.0700,24.91,0.86
46,158.5,0.0700,24.90,0.78
47,166.0,0.0700,24.92,0.74
48,173.8,0.0700,24.92,0.75
49,182.0,0.0700,24.92,0.69
50,190.5,0.0700,24.91,0.63
51,199.5,0.0700,24.91,0.61
52,208.9,0.0700,24.91,0.57
53,218.8,0.0700,24.91,0.56
54,229.1,0.0700,24.91,0.57
55,239.9,0.0700,24.91,0.52
56,251.2,0.0700,24.92,0.46
57,263.0,0.0700,24.91,0.41
58,275.4,0.0700,24.91,0.41
59,288.4,0.0700,24.91,0.41
60,302.0,0.0700,24.92,0.35
61,316.2,0.0700,24.91,0.34
62,331.1,0.0700,24.92,0.31
63,346.7,0.0700,24.92,0.31
64,363.1,0.0700,24.92,0.29
65,380.2,0.0700,24.92,0.29
66,398.1,0.0700,24.92,0.25
67,416.9,0.0700,24.91,0.21
68,436.5,0.0700,24.91,0.23
69,457.1,0.0700,24.91,0.16
70,478.6,0.0700,24.92,0.18
71,501.2,0.0700,24.91,0.11
72,524.8,0.0700,24.91,0.15
73,549.5,0.0700,24.91,0.05
74,575.4,0.0700,24.91,0.10
75,602.6,0.0700,24.91,0.06
76,631.0,0.0700,24.92,0.01
77,660.7,0.0700,24.90,0.01
78,691.8,0.0700,24.92,0.00
79,724.4,0.0700,24.92,0.04
80,758.6,0.0700,24.92,0.00
81,794.3,0.0700,24.92,-0.06
82,831.8,0.0700,24.91,-0.06
83,871.0,0.0700,24.91,-0.10
84,912.0,0.0700,24.91,-0.05
85,955.0,0.0700,24.92,-0.12
86,1000.0,0.0700,24.91,-0.18
87,1047.1,0.0700,24.92,-0.11
88,1096.5,0.0700,24.92,-0.16
89,1148.2,0.0700,24.92,-0.16
90,1202.3,0.0700,24.92,-0.22
91,1258.9,0.0700,24.92,-0.17
92,1318.3,0.0700,24.91,-0.23
93,1380.4,0.0700,24.91,-0.29
94,1445.4,0.0700,24.91,-0.27
95,1513.6,0.0700,24.91,-0.29
96,1584.9,0.0700,24.91,-0.29
97,1659.6,0.0700,24.91,-0.30
98,1737.8,0.0700,24.91,-0.41
99,1819.7,0.0700,24.91,-0.38
100,1905.5,0.0700,24.91,-0.40
101,1995.3,0.0700,24.91,-0.40
102,2089.3,0.0700,24.91,-0.46
103,2187.8,0.0700,24.91,-0.52
104,2290.9,0.0700,24.91,-0.52
105,2398.8,0.0700,24.92,-0.52
106,2511.9,0.0700,24.91,-0.57
107,2630.3,0.0700,24.91,-0.63
108,2754.2,0.0700,24.91,-0.64
109,2884.0,0.0700,24.91,-0.69
110,3020.0,0.0700,24.91,-0.75
111,3162.3,0.0700,24.91,-0.71
112,3311.3,0.0700,24.91,-0.76
113,3467.4,0.0700,24.91,-0.80
114,3630.8,0.0700,24.91,-0.86
115,3801.9,0.0700,24.91,-0.92
116,3981.1,0.0700,24.91,-0.98
117,4168.7,0.0700,24.91,-1.02
118,4365.2,0.0700,24.91,-1.02
119,4570.9,0.0700,24.91,-1.09
120,4786.3,0.0700,24.91,-1.15
121,5011.9,0.0700,24.91,-1.22
122,5248.1,0.0700,24.91,-1.27
123,5495.4,0.0700,24.91,-1.34
124,5754.4,0.0700,24.91,-1.37
125,6025.6,0.0700,24.91,-1.48
126,6309.6,0.0700,24.91,-1.51
127,6606.9,0.0700,24.91,-1.60
128,6918.3,0.0700,24.91,-1.67
129,7244.4,0.0700,24.91,-1.78
130,7585.8,0.0700,24.91,-1.86
131,7943.3,0.0700,24.92,-1.95
132,8317.6,0.0700,24.91,-2.01
133,8709.6,0.0700,24.91,-2.12
134,9120.1,0.0700,24.91,-2.23
135,9549.9,0.0700,24.91,-2.35
136,10000.0,0.0700,24.91,-2.42
137,10471.3,0.0700,24.91,-2.57
138,10964.8,0.0700,24.91,-2.69
139,11481.5,0.0700,24.91,-2.81
140,12022.6,0.0700,24.90,-2.91
141,12589.3,0.0700,24.90,-3.03
142,13182.6,0.0700,24.90,-3.19
143,13803.8,0.0700,24.89,-3.32
144,14454.4,0.0700,24.88,-3.49
145,15135.6,0.0700,24.89,-3.65
146,15848.9,0.0700,24.87,-3.83
147,16595.9,0.0700,24.87,-4.01
148,17378.0,0.0700,24.87,-4.18
149,18197.0,0.0700,24.87,-4.37
150,19054.6,0.0700,24.86,-4.58
151,19952.6,0.0700,24.86,-4.81
152,20893.0,0.0700,24.86,-4.98
153,21877.6,0.0700,24.85,-5.20
154,22908.7,0.0700,24.85,-5.45
155,23988.3,0.0700,24.84,-5.67
156,25118.9,0.0700,24.84,-5.97
157,26302.7,0.0700,24.83,-6.20
158,27542.3,0.0700,24.82,-6.52
159,28840.3,0.0700,24.83,-6.80
160,30199.5,0.0700,24.81,-7.09
161,31622.8,0.0700,24.79,-7.39
162,33113.1,0.0700,24.78,-7.73
163,34673.7,0.0700,24.78,-8.07
164,36307.8,0.0700,24.77,-8.42
165,38018.9,0.0700,24.76,-8.77
166,39810.7,0.0700,24.74,-9.17
167,41686.9,0.0700,24.73,-9.62
168,43651.6,0.0700,24.71,-10.01
169,45708.8,0.0700,24.70,-10.47
170,47863.0,0.0700,24.70,-10.99
171,50118.7,0.0700,24.68,-11.40
172,52480.7,0.0700,24.66,-11.88
173,54954.1,0.0700,24.63,-12.47
174,57544.0,0.0700,24.62,-12.99
175,60256.0,0.0700,24.61,-13.56
176,63095.7,0.0700,24.59,-14.14
177,66069.3,0.0700,24.55,-14.76
178,69183.1,0.0700,24.53,-15.40
179,72443.6,0.0700,24.50,-16.11
180,75857.8,0.0700,24.47,-16.79
181,79432.8,0.0700,24.43,-17.53
182,83176.4,0.0700,24.40,-18.28
183,87096.4,0.0700,24.36,-19.06
184,91201.1,0.0700,24.32,-19.93
185,95499.3,0.0700,24.26,-20.70
186,100000.0,0.0700,24.22,-21.62
187,104712.9,0.0700,24.17,-22.50
188,109647.8,0.0700,24.10,-23.42
189,114815.4,0.0700,24.05,-24.47
190,120226.4,0.0700,23.98,-25.40
191,125892.5,0.0700,23.89,-26.57
192,131825.7,0.0700,23.82,-27.61
193,138038.4,0.0700,23.74,-28.65
194,144544.0,0.0700,23.62,-30.04
195,151356.1,0.0700,23.57,-31.10
196,158489.3,0.0700,23.43,-31.96
197,165958.7,0.0700,23.37,-33.52
198,173780.1,0.0700,23.24,-34.88
199,181970.1,0.0700,23.07,-35.99
200,190546.1,0.0700,22.92,-37.59
201,199526.2,0.0700,22.65,-38.13
202,208929.6,0.0700,22.62,-39.39
203,218776.2,0.0700,22.39,-41.37
204,229086.8,0.0700,22.32,-42.26
205,239883.3,0.0700,22.12,-43.46
206,251188.6,0.0700,22.03,-44.99
207,263026.8,0.0700,21.76,-46.86
208,275422.9,0.0700,21.59,-48.47
209,288403.2,0.0700,21.36,-49.54
210,301995.2,0.0700,21.12,-50.74
211,316227.8,0.0700,20.84,-52.48
212,331131.1,0.0700,20.64,-53.51
213,346736.9,0.0700,20.39,-55.06
214,363078.1,0.0700,20.09,-56.27
215,380189.4,0.0700,19.86,-57.65
216,398107.2,0.0700,19.57,-58.98
217,416869.4,0.0700,19.31,-60.18
218,436515.8,0.0700,19.02,-61.47
219,457088.2,0.0700,18.73,-62.68
220,478630.1,0.0700,18.42,-63.95
221,501187.2,0.0700,18.10,-65.38
222,524807.5,0.0700,17.78,-66.42
223,549540.9,0.0700,17.46,-67.86
224,575439.9,0.0700,17.10,-69.11
225,602559.6,0.0700,16.77,-70.22
226,630957.3,0.0700,16.48,-71.30
227,660693.4,0.0700,16.14,-72.44
228,691831.0,0.0700,15.77,-73.44
229,724436.0,0.0700,15.42,-74.68
230,758577.6,0.0700,15.09,-75.63
231,794328.2,0.0700,14.74,-76.67
232,831763.8,0.0700,14.36,-77.60
233,870963.6,0.0700,14.00,-78.54
234,912010.8,0.0700,13.61,-79.53
235,954992.6,0.0700,13.27,-80.54
236,1000000.0,0.0700,12.87,-81.44
237,1047128.5,0.0700,12.52,-82.39
238,1096478.2,0.0700,12.16,-83.33
239,1148153.6,0.0700,11.76,-84.15
240,1202264.4,0.0700,11.41,-85.26
241,1258925.4,0.0700,11.02,-86.10
242,1318256.7,0.0700,10.66,-86.97
243,1380384.3,0.0700,10.26,-87.83
244,1445439.8,0.0700,9.89,-88.93
245,1513561.2,0.0700,9.51,-89.58
246,1584893.2,0.0700,9.12,-90.49
247,1659586.9,0.0700,8.73,-90.90
248,1737800.8,0.0700,8.36,-91.35
249,1819700.9,0.0700,8.09,-91.58
250,1905460.7,0.0700,7.79,-92.90
251,1995262.3,0.0700,7.46,-94.21
252,2089296.1,0.0700,7.15,-95.51
253,2187761.6,0.0700,6.79,-96.55
254,2290867.7,0.0700,6.39,-97.84
255,2398832.9,0.0700,6.06,-99.28
256,2511886.4,0.0700,5.70,-100.20
257,2630268.0,0.0700,5.34,-101.23
258,2754228.7,0.0700,4.99,-102.44
259,2884031.5,0.0700,4.65,-103.48
260,3019951.7,0.0700,4.32,-105.31
261,3162277.7,0.0700,3.94,-106.04
262,3311311.2,0.0700,3.59,-107.78
263,3467368.5,0.0700,3.28,-108.47
264,3630780.5,0.0700,2.98,-109.94
265,3801894.0,0.0700,2.61,-111.16
266,3981071.7,0.0700,2.35,-112.72
267,4168693.8,0.0700,2.02,-114.40
268,4365158.3,0.0700,1.68,-117.03
269,4570881.9,0.0700,1.43,-117.64
270,4786300.9,0.0700,1.09,-120.30
271,5011872.3,0.0700,0.83,-121.04
272,5248074.6,0.0700,0.58,-122.98
273,5495408.7,0.0700,0.30,-124.84
274,5754399.4,0.0700,0.07,-126.52
275,6025595.9,0.0700,-0.16,-128.59
276,6309573.4,0.0700,-0.38,-130.72
277,6606934.5,0.0700,-0.52,-134.42
278,6918309.7,0.0700,-0.71,-135.23
279,7244359.6,0.0700,-0.86,-137.49
280,7585775.8,0.0700,-1.00,-140.06
281,7943282.3,0.0700,-1.11,-142.63
282,8317637.7,0.0700,-1.16,-145.45
283,8709635.9,0.0700,-1.17,-149.12
284,9120108.4,0.0700,-1.18,-152.25
285,9549925.9,0.0700,-1.20,-153.47
286,10000000.0,0.0700,-1.13,-156.91
287,10471285.5,0.0700,-1.08,-160.73
288,10964782.0,0.0700,-0.86,-164.06
289,11481536.2,0.0700,-0.65,-167.90
290,12022644.3,0.0700,-0.37,185.22
291,12589254.1,0.0700,-0.01,182.70
292,13182567.4,0.0700,0.44,176.32
293,13803842.6,0.0700,0.98,169.61
294,14454397.7,0.0700,1.58,161.59
295,15135612.5,0.0700,2.23,151.93
296,15848931.9,0.0700,2.83,140.47
297,16595869.1,0.0700,3.30,126.35
298,17378008.3,0.0700,3.49,109.67
299,18197008.6,0.0700,3.19,92.35
300,19054607.2,0.0700,2.50,77.19
301,19952623.1,0.0700,1.36,63.26
302,20000000.0,0.0700,1.33,62.59
